CATEGORIA,CENTRAL,AGUILAS,TLAQUEPAQUE,TORRES,CENTRO SUR,Kiosco,VOLANTAS,D. FORANEAS,TOTAL
CHOFER,7473,2364,2132,2550,909,57,1637,7490,24612
AUTOMOVILISTA,3029,1262,485,691,263,16,481,472,6699
MOTOCICLISTA,984,73,94,89,39,2,97,292,1670
PERM. PROV. AUTO,181,8,2,1,2,0,2,33,229
PERM. PROV. MOTO,6,0,0,0,0,0,0,1,7
C.T.P. C1,109,0,0,0,0,0,0,0,109
C.T.P. C2,213,0,0,0,0,0,0,0,213
C.T.P. C3,152,0,0,0,0,0,131,0,283
C.T.P. C4,34,0,0,0,0,0,0,0,34
C.T.P. C5,7,0,0,0,0,0,0,0,7
C.T.P. D1,8,0,0,0,0,0,0,0,8
C.T.P. D2,24,0,0,0,0,0,0,0,24
C1+E,4,0,0,0,0,0,0,0,4
TOTAL,12224,3707,2713,3331,1213,75,2348,8288,33899
,,,,,,,,,
PROMEDIO DIARIO,611.2,185.35,135.65,166.55,60.65,3.75,117.4,414.4,1694.95
,,,,,,,,,
MOVIMIENTO,,,,,,,,,
NUEVAS,6196,0,0,0,0,0,1016,2929,10141
CANJES,6028,3707,2713,3331,1213,75,1332,5359,23758
DUPLICADOS,0,0,0,0,0,0,0,0,0
,,,,,,,,,
TOTAL,12224,3707,2713,3331,1213,75,2348,8288,33899
,,,,,,,,,
,,, ,,,,,,
