CATEGORIA,CENTRAL,AGUILAS,TLAQUEPAQUE,TORRES,CENTRO SUR,Kiosco,VOLANTAS,D. FORANEAS,TOTAL
CHOFER,9062,2384,2368,2269,959,110,1001,10081,28234
AUTOMOVILISTA,3576,1314,545,692,317,30,335,569,7378
MOTOCICLISTA,1161,57,76,62,25,5,66,348,1800
PERM. PROV. AUTO,265,13,1,2,2,0,0,63,346
PERM. PROV. MOTO,4,0,0,0,0,0,0,0,4
C.T.P. C1,66,0,0,0,0,0,0,0,66
C.T.P. C2,182,0,0,0,0,0,0,0,182
C.T.P. C3,186,0,0,0,0,0,0,0,186
C.T.P. C4,39,0,0,0,0,0,8,0,47
C.T.P. C5,8,0,0,0,0,0,0,0,8
C.T.P. D1,9,0,0,0,0,0,0,0,9
C.T.P. D2,28,0,0,0,0,0,0,0,28
C1+E,0,0,0,0,0,0,0,0,0
TOTAL,14586,3768,2990,3025,1303,145,1410,11061,38288
,,,,,,,,,
PROMEDIO DIARIO,729.3,188.4,149.5,151.25,65.15,7.25,70.5,553.05,1914.4
,,,,,,,,,
MOVIMIENTO,,,,,,,,,
NUEVAS,6653,0,0,0,0,0,708,4173,11534
CANJES,7933,3768,2990,3025,1303,145,702,6888,26754
DUPLICADOS,0,0,0,0,0,0,0,0,0
,,,,,,,,,
TOTAL,14586,3768,2990,3025,1303,145,1410,11061,38288
,,,,,,,,,
,,, ,,,,,,
