CATEGORIA,CENTRAL,AGUILAS,TLAQUEPAQUE,TORRES,CENTRO SUR,Kiosco,VOLANTAS,D. FORANEAS,TOTAL
CHOFER,8802,1980,1973,2291,724,0,2556,8413,26739
AUTOMOVILISTA,3401,999,361,524,181,0,469,471,6406
MOTOCICLISTA,1166,54,76,81,20,0,126,297,1820
PERM. PROV. AUTO,197,10,2,2,2,0,1,49,263
PERM. PROV. MOTO,4,0,0,0,0,0,0,2,6
C.T.P. C1,73,0,0,0,0,0,0,0,73
C.T.P. C2,231,0,0,0,0,0,0,0,231
C.T.P. C3,70,0,0,0,0,0,0,0,70
C.T.P. C4,55,0,0,0,0,0,0,0,55
C.T.P. C5,5,0,0,0,0,0,0,0,5
C.T.P. D1,8,0,0,0,0,0,0,0,8
C.T.P. D2,8,0,0,0,0,0,0,0,8
C1+E,0,0,0,0,0,0,0,0,0
TOTAL,14020,3043,2412,2898,927,0,3152,9232,35684
,,,,,,,,,
PROMEDIO DIARIO,701,152.15,120.6,144.9,46.35,0,157.6,461.6,1784.2
,,,,,,,,,
MOVIMIENTO,,,,,,,,,
NUEVAS,6674,0,0,0,0,0,1656,3378,11708
CANJES,7346,3043,2412,2898,927,0,1496,5854,23976
DUPLICADOS,0,0,0,0,0,0,0,0,0
,,,,,,,,,
TOTAL,14020,3043,2412,2898,927,0,3152,9232,35684
,,,,,,,,,
,,, ,,,,,,
