CATEGORIA,CENTRAL,AGUILAS,TLAQUEPAQUE,TORRES,CENTRO SUR,Kiosco,VOLANTAS,D. FORANEAS,TOTAL
CHOFER,6804,1904,1787,1892,809,45,1348,7818,22407
AUTOMOVILISTA,2711,1110,367,593,225,12,367,451,5836
MOTOCICLISTA,933,56,84,59,32,2,42,332,1540
PERM. PROV. AUTO,154,2,0,1,1,0,1,41,200
PERM. PROV. MOTO,0,0,0,0,0,0,0,0,0
C.T.P. C1,81,0,0,0,0,0,0,0,81
C.T.P. C2,146,0,0,0,0,0,0,0,146
C.T.P. C3,117,0,0,0,0,0,0,0,117
C.T.P. C4,36,0,0,0,0,0,0,0,36
C.T.P. C5,4,0,0,0,0,0,0,0,4
C.T.P. D1,3,0,0,0,0,0,0,0,3
C.T.P. D2,54,0,0,0,0,0,0,0,54
C1+E,2,0,0,0,0,0,0,0,2
TOTAL,11045,3072,2238,2545,1067,59,1758,8642,30426
,,,,,,,,,
PROMEDIO DIARIO,552.25,153.6,111.9,127.25,53.35,2.95,87.9,432.1,1521.3
,,,,,,,,,
MOVIMIENTO,,,,,,,,,
NUEVAS,5214,0,0,0,0,0,645,3145,9004
CANJES,5831,3072,2238,2545,1067,59,1113,5497,21422
DUPLICADOS,0,0,0,0,0,0,0,0,0
,,,,,,,,,
TOTAL,11045,3072,2238,2545,1067,59,1758,8642,30426
